id,meta_start,meta_captcha,meta_resolution_ratio,meta_resolution_height,dems_edu,dems_class_current,chaos01,chaos02,chaos03,chaos04,chaos05,chaos06,chaos07,chaos08,chaos09,chaos10,chaos11,chaos12,chaos13,chaos14,chaos15,unp01,unp02,unp03,unp04,unp05,unp06,unp07,unp08,unp_moving,unp_other_adults,unp_female_fig_num,unp_female_fig_rom,unp_male_fig_num,unp_male_fig_rom,quic01,quic02,quic03,quic04,quic05,quic06,quic07,quic08,quic09,quic10,quic11,quic12,quic13,quic14,quic15,quic16,quic17,quic18,quic19,quic20,quic21,quic22,quic23,quic24,quic25,quic26,quic27,quic28,quic29,quic30,quic31,quic32,quic33,quic34,quic35,quic36,quic37,change_env01,change_env02,change_env03,change_env04,change_env_mean,change_env_missing,chaos_mean,chaos_missing,quic_monitoring_mean,quic_monitoring_missing,quic_par_predict_mean,quic_par_predict_missing,quic_par_env_mean,quic_par_env_missing,quic_phys_env_mean,quic_phys_env_missing,quic_safety_mean,quic_safety_missing,quic_total_mean,quic_total_missing,unp_moving_binned,unp_male_fig_rom_binned,unp_female_fig_rom_binned,unp_pcunp_quic_comp,unp_subj_comp,unp_obj_comp,unp_comp,violence01,violence02,violence03,violence04,violence05,violence06,violence07,fighting_mean,vio_comp,ses01,ses02,ses03,ses04,ses05,ses06,ses07,ses_subj_comp,ses_subj_missing,ses_obj_comp,ses_obj_missing,ses_comp,impuls01,impuls02,impuls03,impuls04,impuls05,fos01,fos02,fos03,fos04,fos05,fos06,fos07,fos08,fos09,fos10,fos11,fos12,fos13,fos14,fos15,impuls_mean,impuls_missing.x,fos_pa_mean,fos_pa_missing,fos_tp_mean,fos_tp_missing,fos_fc_mean,fos_fc_missing,fos_fo_mean,fos_fo_missing,depression01,depression02,depression03,depression04,depression05,depression06,depression07,depression08,depression09,depression10,depression11,depression12,depression13,depression14,depression15,depression16,depression17,depression18,depression19,depression20,depression_mean,impuls_missing.y,dems_ethnicity,dems_ethnicity_mixed,dems_age,dems_sex,dems_gender,dems_gender_4_text,att_check01,att_check02,att_getup,att_interrupted,att_noise,attention_check_sum,attention_interrupt_sum,ex_narb_NA_selfreport_pass,ex_narb_attention_checks_pass,ex_narb_suspect_responses_pass,ex_narb_resolution_ratio,ex_narb_resolution_height,counterbalance,rt_flanker_congruent_deg,rt_flanker_congruent_enh,rt_flanker_congruent_std,rt_flanker_incongruent_deg,rt_flanker_incongruent_enh,rt_flanker_incongruent_std,acc_flanker_congruent_deg,acc_flanker_congruent_enh,acc_flanker_congruent_std,acc_flanker_incongruent_deg,acc_flanker_incongruent_enh,acc_flanker_incongruent_std,a_flanker_std,t0_flanker_std,p_flanker_std,rd_flanker_std,sda_flanker_std,g2_flanker_std,bbic_flanker_std,a_flanker_enh,t0_flanker_enh,p_flanker_enh,rd_flanker_enh,sda_flanker_enh,g2_flanker_enh,bbic_flanker_enh,a_flanker_deg,t0_flanker_deg,p_flanker_deg,rd_flanker_deg,sda_flanker_deg,g2_flanker_deg,bbic_flanker_deg,interference_flanker_std,interference_flanker_enh,interference_flanker_deg,ssp_refit,final_width_px,scale_factor,no_resize,fullscreenenter,fullscreenexit,blur_event,focus_event,event_during_flanker
2,2022-03-18T14:13:15Z,0.8999999761581421,1.6,800,6,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,2,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,1,2,2,1.5,0,1.4666666666666666,0,1,0,1.5833333333333333,0,1,0,1.7142857142857142,0,1,0,1.3243243243243243,0,1,0,0,-1.0637935853282892,-1.1332542727810155,-0.22730066264678367,-0.6802774677138996,1,2,4,1,2,2,1,1,-0.4603111395192921,3,4,5,2,2,2,4,3.142857142857143,0,-0.788955151249163,0,-0.6443523350374132,2,2,3,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,2.2,0,4,0,4,0,3.4,0,3.8,0,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1.35,0,"Asian or Asian American (e.g., Chinese, Japanese, and others)",0,25,1,2,NA,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,6,0.5931500000040978,0.5087437500059605,0.5271062499973923,0.6241387096778039,0.5755374999996274,0.594265625,1,1,1,0.96875,1,1,0.114,0.397,0.908,0.013,1.342,64.87877379183134,1849.2253660241956,0.091,0.391,0.806,0.02,1.661,67.06600462929075,1850.288611939237,0.049,0.496,0.534,0.016,1.133,94.96742687708208,1928.8807824221071,103.23076923076924,83.05,70.8125,FALSE,386,1.1437037037037037,0,1,0,0,3,FALSE
3,2022-03-18T14:47:17Z,0.699999988079071,1.7777777777777777,720,6,2,5,2,3,2,3,3,3,3,3,3,4,4,3,4,3,3,5,1,1,2,4,3,3,1,1,0,0,2,0,3,3,3,3,2,2,2,2,2,2,2,3,2,4,2,3,3,3,4,3,4,3,1,1,1,2,1,1,2,2,2,2,3,2,2,4,2,2,1,2,2,1.75,0,3.2,0,2.4444444444444446,0,2.9166666666666665,0,1.5,0,2,0,2.6666666666666665,0,2.3783783783783785,0,1,0,0,0.5942727612842665,0.7386211581611001,-0.14114775846592847,0.2987366998475858,3,3,3,2,2,3,3,1.5,0.2306985064430642,4,3,4,4,2,2,3,3.142857142857143,0,0.6141103876166872,0,0.21024017410123944,2,2,2,2,2,4,3,4,5,3,5,5,3,5,5,4,5,4,4,4,2,0,4.6,0,3.4,0,4.6,0,4.2,0,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1.7,0,"White, Caucasian, Anglo, European American",0,22,3,3,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,0.6485125000000408,0.6517281249999068,0.6326750000000465,0.6969093750001047,0.7547968749999417,0.7537258064517031,1,1,1,1,1,0.96875,0.107,0.392,0.475,0.007,1.341,99.216300561566,1925.4551202257956,0.109,0.387,0.399,0.024,1.642,127.02256250574698,1910.2527187004837,0.08,0.441,0.418,0.014,1.274,90.40062083917068,1874.172610454598,191.57142857142856,68.41666666666666,91,FALSE,304,0.9007407407407407,1,1,0,0,3,FALSE
4,2022-03-18T14:49:21Z,0.8999999761581421,1.6,900,6,3,3,2,1,2,1,2,2,3,1,2,2,3,2,3,4,2,5,5,1,3,4,3,4,4,2,0,0,0,0,2,4,2,4,4,2,2,2,4,1,1,4,1,3,1,1,2,2,4,4,4,5,1,3,2,3,2,1,4,2,1,2,1,2,1,1,3,2,2,2,2,2,0,2.2,0,2.888888888888889,0,2.3333333333333335,0,2.6666666666666665,0,1.8571428571428572,0,1.6666666666666667,0,2.3783783783783785,0,2,0,0,1.0000165101246405,0.5748959746919562,0.16436794915095845,0.3696319619214573,1,1,2,2,1,1,2,2,-0.32231065268119236,5,5,5,4,2,2,5,4,0,0.43348058270556905,0,0.5646365052056546,2,2,2,2,2,4,4,3,4,4,5,4,5,4,3,4,5,4,3,2,2,0,4.4,0,4,0,3.2,0,3.8666666666666667,0,1,1,1,1,3,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1.35,0,"White, Caucasian, Anglo, European American",0,24,1,2,NA,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,3,0.481296875,0.42500312500447035,0.47699999999813736,0.5611500000022351,0.49853125000558796,0.5407687499988824,1,1,1,1,1,1,0.124,0.32,0.784,0.025,1.635,22.80645140136867,1809.304799281526,0.073,0.344,0.883,0.03,1.966,112.48419378573529,1903.515904361382,0.068,0.38,0.705,0.023,1.934,107.08239479974314,1892.0120683469663,65.39999999999999,65.53333333333333,84.08695652173913,FALSE,304,0.9007407407407407,1,1,0,0,3,FALSE
5,2022-03-18T15:09:17Z,1,1.6,900,7,4,4,2,3,1,2,2,3,2,1,1,4,3,3,3,3,3,3,1,1,3,3,2,1,2,1,0,0,1,0,2,4,3,2,3,3,2,2,2,3,2,2,2,2,3,1,4,2,2,3,3,2,1,1,1,4,2,1,2,2,1,2,3,1,1,2,1,2,2,2,2,2,0,2.466666666666667,0,2.5555555555555554,0,2.4166666666666665,0,1.8333333333333333,0,1.7142857142857142,0,1.3333333333333333,0,2.135135135135135,0,1,0,0,0.030617931814124925,0.039372041254744763,-0.05499485428507328,-0.007811406515164258,2,1,4,1,1,2,3,3,0.3962319431973266,3,3,4,4,1,1,1,2.4285714285714284,0,-0.12355533664153649,0,-0.6260776606158913,2,3,2,4,3,4,5,4,4,3,5,4,2,5,3,4,4,4,3,5,2.8,0,4.2,0,3.4,0,4.2,0,3.933333333333333,0,2,1,2,1,3,2,4,1,1,1,3,2,2,1,1,2,1,2,1,2,1.75,0,"White, Caucasian, Anglo, European American",0,28,1,2,NA,5,2,0,0,2,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,0.6360624999999945,0.4947499999999982,0.5082499999999973,0.661709677419352,0.5878387096774175,0.5847333333333338,1,1,1,1,0.96875,0.9375,0.056,0.37,0.427,0.007,1.114,111.55544848076272,1979.0028101547368,0.091,0.348,0.628,0.008,1.202,106.93424346382656,1937.635301305813,0.211,0.24,0.562,0.024,1.486,281.46202807874215,2067.5506297452816,159.14285714285717,150.25,61.916666666666664,FALSE,436,1.2918518518518518,0,1,0,0,3,FALSE
6,2022-03-18T15:15:28Z,0.8999999761581421,1.7777777777777777,1080,6,4,4,3,5,3,5,5,4,4,5,3,5,5,2,4,4,3,5,2,3,4,3,4,3,4,1,4,0,4,0,3,5,4,4,4,4,4,3,4,4,4,4,1,4,3,2,4,5,5,4,4,4,3,1,1,4,3,4,4,1,1,4,3,3,4,5,5,3,2,3,4,3,0,4.066666666666666,0,3.888888888888889,0,3.6666666666666665,0,2.6666666666666665,0,2.857142857142857,0,4.666666666666667,0,3.4864864864864864,0,2,0,0,1.719389210771357,1.8736840967703057,0.5089795658743793,1.1913318313223424,3,3,3,2,1,3,2,3,0.6450357042146491,3,3,3,2,1,1,1,2,0,-0.21387023909709557,0,-0.9132955465077466,2,3,2,3,2,4,5,4,5,3,5,4,3,4,5,5,5,4,4,5,2.4,0,4.4,0,4,0,4.6,0,4.333333333333333,0,1,3,1,2,2,1,3,1,1,1,3,2,1,1,1,2,2,2,1,2,1.65,0,"White, Caucasian, Anglo, European American",0,29,1,2,NA,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,0.5484749999940395,0.4858451612880153,0.4961451612864771,0.6250900000135103,0.5335444444373801,0.5646548387081393,1,1,0.96875,0.967741935483871,0.8709677419354839,0.96875,0.073,0.367,0.653,0.02,1.861,265.4918051425363,2134.6472010938955,0.052,0.359,0.48,0.018,1.87,114.82800000065232,2011.6265591861363,0.068,0.407,0.488,0.016,1.619,41.31526248229081,1870.802175442236,93.05,103.8888888888889,101.1875,FALSE,376,1.114074074074074,0,1,0,0,3,FALSE
7,2022-03-18T15:18:14Z,0.8999999761581421,1.6,900,6,4,3,1,2,2,1,2,3,4,2,2,1,3,1,3,4,4,2,5,3,2,2,4,3,7,1,0,0,3,3,2,3,3,2,3,3,4,4,3,3,3,1,1,2,2,4,1,2,3,2,3,5,5,4,1,2,1,1,5,5,1,2,2,2,1,1,1,2,4,4,3,3.25,0,2.2666666666666666,0,3,0,2.25,0,3,0,2.5714285714285716,0,1,0,2.5135135135135136,0,4,3,0,0.9254473887161394,0.5538526177776041,3.1319531112787513,1.8429028645281778,2,2,4,1,1,1,1,1.5,-0.3498436025973552,3,3,5,5,1,2,4,3.2857142857142856,0,0.276774685412584,0,0.0821752099601632,3,4,4,5,4,3,5,3,3,2,2,4,3,4,3,5,4,3,4,3,4,0,3.2,0,3.8,0,3.2,0,3.4,0,3,3,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1.85,0,"White, Caucasian, Anglo, European American",0,23,1,2,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,3,0.5747187500000036,0.5874062500000014,0.5431562499999909,0.6297741935483908,0.6645937499999987,0.6674374999999946,1,1,1,1,1,1,0.207,0.287,0.828,0.013,1.727,80.07507550758066,1862.963606405311,0.086,0.436,0.573,0.024,1.868,37.68298264942327,1820.1346360895252,0.227,0.316,0.925,0.019,1.59,39.86837625844848,1823.9978437052723,132.84615384615387,77.83333333333334,83.6842105263158,TRUE,364,1.0785185185185184,0,1,0,0,3,FALSE
8,2022-03-18T15:18:18Z,0.8999999761581421,1.6,1050,7,2,2,2,3,2,2,2,2,3,2,1,1,2,4,2,1,2,1,1,1,1,1,3,1,1,1,2,0,1,0,1,2,3,2,3,1,2,1,3,2,3,2,1,2,2,2,2,1,1,1,1,2,1,1,1,3,2,1,2,2,1,2,3,2,1,1,1,2,1,1,2,1.5,0,2.066666666666667,0,2,0,1.6666666666666667,0,1.6666666666666667,0,1.8571428571428572,0,1,0,1.7297297297297298,0,1,0,0,-0.7194597011772692,-0.6397187197289838,-0.22730066264678367,-0.43350969118788374,3,3,3,3,2,4,3,1.5,0.39656768045461255,4,4,4,4,2,2,3,3.2857142857142856,0,0.40966740893729353,1,0.1631187745316749,3,3,4,3,4,3,4,3,4,2,4,3,3,4,3,2,4,3,4,3,3.4,0,3.4,0,3,0,3.4,0,3.2666666666666666,0,2,1,1,2,3,1,3,2,1,1,4,2,1,2,2,2,1,1,1,3,1.8,0,"White, Caucasian, Anglo, European American",0,27,1,2,NA,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,3,0.44164666666785873,0.42568437499925493,0.4837437500003725,0.5775045454475013,0.5394766666710377,0.5831062499955296,0.967741935483871,1,1,0.6875,0.9375,1,0.114,0.303,0.637,0.014,1.675,328.57616834377734,2118.332909825689,0.073,0.322,0.717,0.011,1.54,70.1135822395194,1913.4167353533276,0.052,0.324,0.496,0.009,1.803,170.1925355168348,2120.082091916696,119.64285714285714,140,200.33333333333334,FALSE,317,0.9392592592592592,0,1,0,3,6,FALSE
10,2022-03-18T15:41:04Z,0.8999999761581421,1.7777777777777777,864,5,3,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1.2,0,1.2222222222222223,0,1.25,0,1,0,1.1428571428571428,0,1,0,1.162162162162162,0,0,0,0,-1.331365138617617,-1.4296312715654,-0.6189692744445258,-1.0243002730049628,1,1,3,1,1,1,1,1,-0.7920494875423887,5,5,5,5,3,1,4,4,0,-0.23191923190205752,0,0.15934845458074715,3,3,4,2,3,3,4,4,3,3,3,3,4,4,3,4,3,3,4,4,3,0,3,0,3.8,0,3.6,0,3.466666666666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.05,0,"White, Caucasian, Anglo, European American",0,30,1,2,NA,5,2,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.5668406250011175,0.45964516128263166,0.4683437499906868,0.6254571428554399,0.5182931034482758,0.5186933333317438,1,0.96875,1,0.9032258064516129,0.90625,0.9375,0.042,0.397,0.537,0.042,2.032,166.29725251574453,2021.0255605192265,0.046,0.373,0.535,0.012,1.298,174.86888685314483,2100.8823009809785,0.061,0.42,0.482,0.019,1.913,160.0985020305259,2014.874367357599,48.38095238095238,108.16666666666667,100.6842105263158,FALSE,298,0.882962962962963,0,1,0,3,6,FALSE
12,2022-03-18T15:31:48Z,1,1.6,900,6,4,3,2,2,3,2,3,4,3,3,3,4,4,2,4,3,3,4,1,3,3,3,3,3,7,1,1,0,1,1,1,2,3,3,4,1,1,1,1,3,1,2,1,3,2,1,4,3,2,4,4,3,1,1,1,2,5,2,5,1,1,3,4,2,3,5,2,4,3,4,1,3,0,3,0,1.8888888888888888,0,2.5,0,2.1666666666666665,0,2.5714285714285716,0,3.3333333333333335,0,2.3783783783783785,0,4,1,0,0.6754215110523414,0.7058761214672714,1.647070184196927,1.1764731528320993,2,2,4,2,2,3,2,2.5,0.4516335802869379,2,2,3,3,1,1,1,1.8571428571428572,0,-1.3459910705962685,0,-1.6802611503776048,2,2,3,3,3,4,5,4,4,2,3,4,3,4,4,3,2,4,3,4,2.6,0,3.4,0,3.2,0,4,0,3.533333333333333,0,2,3,1,2,3,1,3,1,2,3,1,1,1,1,1,1,2,2,1,1,1.65,0,Black or African American & Middle Eastern,1,23,1,2,NA,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,3,0.5117937500011176,0.48012812500074503,0.49297741935522327,0.5902406250145287,0.541568750007078,0.5502874999959022,1,1,0.96875,1,1,1,0.059,0.382,0.524,0.02,1.475,112.65284146034622,1941.073989023762,0.069,0.374,0.618,0.036,1.943,22.16691861686127,1803.539998305473,0.192,0.296,0.93,0.015,1.479,67.53561793377496,1853.105480855174,73.75,53.97222222222223,98.60000000000001,FALSE,436,1.2918518518518518,0,1,0,3,6,FALSE
13,2022-03-18T15:36:57Z,0.8999999761581421,1.6,800,4,2,4,3,3,4,3,4,4,5,4,3,5,4,3,4,4,5,5,3,2,4,5,5,5,0,1,1,0,0,0,3,4,2,3,3,2,2,3,3,3,3,4,3,3,3,2,4,5,5,5,5,5,3,4,1,3,1,2,1,2,1,4,4,4,1,1,5,1,4,2,2,2.25,0,3.8,0,2.7777777777777777,0,3.75,0,2.8333333333333335,0,2.5714285714285716,0,2.3333333333333335,0,3.027027027027027,0,0,0,0,1.9891539735138766,1.9386825029403387,-0.1882047535402498,0.8752388747000445,1,1,1,1,1,2,2,4.5,0.56176537995158915,5,5,5,5,3,2,5,4.285714285714286,0,1.475286511749183,0,1.3539949241463662,2,2,3,3,3,4,4,4,4,3,5,4,4,3,5,3,4,4,3,2,2.6,0,4.2,0,3.4,0,3.6,0,3.7333333333333334,0,4,2,2,2,4,2,4,3,3,1,3,3,3,3,1,3,3,3,4,4,2.85,0,"White, Caucasian, Anglo, European American",0,27,1,2,NA,5,2,1,0,1,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,1,0.5449999999850988,0.50209375,0.5567281250208617,0.6401781249940396,0.5971218749582767,0.6460516129309132,1,1,1,1,1,1,0.089,0.419,0.627,0.016,1.564,27.010810554140903,1810.164869644227,0.115,0.323,0.647,0.019,1.85,14.40684935459952,1794.2500137768998,0.093,0.382,0.554,0.016,1.557,49.58704200415695,1836.6416164269908,97.75,97.36842105263159,97.3125,FALSE,390,1.1555555555555557,0,1,0,0,3,FALSE
